ISIN,MATURITYDATE,ISSUEDATE,COUPONRATE,PRICE,ACCRUED,TODAY
DE0001135283,2015-07-04,2005-04-28,0.0325,102.415,0.3027,2009-08-05
DE0001135291,2016-01-04,2005-10-30,0.035,103.43,2.0616,2009-08-05
DE0001134922,2024-01-04,1993-12-29,0.0625,126.66,3.6815,2009-08-05
DE0001141463,2010-04-09,2005-02-24,0.0325,101.735,1.0952,2009-08-06
DE0001135150,2010-07-04,2000-05-05,0.0525,103.965,0.5322,2009-08-06
DE0001141471,2010-10-08,2005-08-26,0.025,101.79,2.0959,2009-08-06
DE0001135168,2011-01-04,2000-09-29,0.0525,105.725,3.1356,2009-08-06
DE0001135184,2011-07-04,2001-05-23,0.05,106.48,0.5068,2009-08-06
DE0001135192,2012-01-04,2001-12-28,0.05,107.51,2.9863,2009-08-06
DE0001135200,2012-07-04,2002-06-26,0.05,108.315,0.5068,2009-08-06
DE0001135218,2013-01-04,2002-12-31,0.045,107.38,2.6877,2009-08-06
DE0001135234,2013-07-04,2003-06-24,0.0375,105.02,0.3801,2009-08-06
DE0001135242,2014-01-04,2003-10-21,0.0425,107.105,2.5384,2009-08-06
DE0001135259,2014-07-04,2004-04-25,0.0425,107.39,0.4308,2009-08-06
DE0001135267,2015-01-04,2004-10-27,0.0375,105.045,2.2397,2009-08-06
DE0001135283,2015-07-04,2005-04-28,0.0325,102.27,0.3295,2009-08-06
DE0001135291,2016-01-04,2005-10-30,0.035,103.28,2.0904,2009-08-06
DE0001134922,2024-01-04,1993-12-29,0.0625,126.51,3.7329,2009-08-06
DE0001141463,2010-04-09,2005-02-24,0.0325,101.715,1.1041,2009-08-07
DE0001135150,2010-07-04,2000-05-05,0.0525,103.915,0.5466,2009-08-07
DE0001141471,2010-10-08,2005-08-26,0.025,101.72,2.1027,2009-08-07
DE0001135168,2011-01-04,2000-09-29,0.0525,105.595,3.15,2009-08-07
DE0001135184,2011-07-04,2001-05-23,0.05,106.27,0.5205,2009-08-07
DE0001135192,2012-01-04,2001-12-28,0.05,107.23,3,2009-08-07
DE0001135200,2012-07-04,2002-06-26,0.05,107.99,0.5205,2009-08-07
DE0001135218,2013-01-04,2002-12-31,0.045,107,2.7,2009-08-07
DE0001135234,2013-07-04,2003-06-24,0.0375,104.64,0.3904,2009-08-07
DE0001135242,2014-01-04,2003-10-21,0.0425,106.64,2.55,2009-08-07
DE0001135259,2014-07-04,2004-04-25,0.0425,106.81,0.4425,2009-08-07
DE0001135267,2015-01-04,2004-10-27,0.0375,104.44,2.25,2009-08-07
DE0001135283,2015-07-04,2005-04-28,0.0325,101.69,0.3384,2009-08-07
DE0001135291,2016-01-04,2005-10-30,0.035,102.64,2.1,2009-08-07
DE0001134922,2024-01-04,1993-12-29,0.0625,125.35,3.75,2009-08-07
DE0001141463,2010-04-09,2005-02-24,0.0325,101.715,1.113,2009-08-10
DE0001135150,2010-07-04,2000-05-05,0.0525,103.93,0.561,2009-08-10
DE0001141471,2010-10-08,2005-08-26,0.025,101.74,2.1096,2009-08-10
DE0001135168,2011-01-04,2000-09-29,0.0525,105.63,3.1644,2009-08-10
DE0001135184,2011-07-04,2001-05-23,0.05,106.33,0.5342,2009-08-10
DE0001135192,2012-01-04,2001-12-28,0.05,107.31,3.0137,2009-08-10
DE0001135200,2012-07-04,2002-06-26,0.05,108.065,0.5342,2009-08-10
DE0001135218,2013-01-04,2002-12-31,0.045,107.08,2.7123,2009-08-10
DE0001135234,2013-07-04,2003-06-24,0.0375,104.685,0.4007,2009-08-10
DE0001135242,2014-01-04,2003-10-21,0.0425,106.695,2.5616,2009-08-10
DE0001135259,2014-07-04,2004-04-25,0.0425,106.88,0.4541,2009-08-10
DE0001135267,2015-01-04,2004-10-27,0.0375,104.5,2.2603,2009-08-10
DE0001135283,2015-07-04,2005-04-28,0.0325,101.72,0.3473,2009-08-10
DE0001135291,2016-01-04,2005-10-30,0.035,102.68,2.1096,2009-08-10
DE0001134922,2024-01-04,1993-12-29,0.0625,125.655,3.7671,2009-08-10
DE0001141463,2010-04-09,2005-02-24,0.0325,101.715,1.1219,2009-08-11
DE0001135150,2010-07-04,2000-05-05,0.0525,103.935,0.5753,2009-08-11
DE0001141471,2010-10-08,2005-08-26,0.025,101.77,2.1164,2009-08-11
DE0001135168,2011-01-04,2000-09-29,0.0525,105.685,3.1788,2009-08-11
DE0001135184,2011-07-04,2001-05-23,0.05,106.415,0.5479,2009-08-11
DE0001135192,2012-01-04,2001-12-28,0.05,107.41,3.0274,2009-08-11
DE0001135200,2012-07-04,2002-06-26,0.05,108.17,0.5479,2009-08-11
DE0001135218,2013-01-04,2002-12-31,0.045,107.205,2.7247,2009-08-11
DE0001135234,2013-07-04,2003-06-24,0.0375,104.82,0.411,2009-08-11
DE0001135242,2014-01-04,2003-10-21,0.0425,106.84,2.5733,2009-08-11
DE0001135259,2014-07-04,2004-04-25,0.0425,107.025,0.4658,2009-08-11
DE0001135267,2015-01-04,2004-10-27,0.0375,104.635,2.2705,2009-08-11
DE0001135283,2015-07-04,2005-04-28,0.0325,101.855,0.3562,2009-08-11
DE0001135291,2016-01-04,2005-10-30,0.035,102.82,2.1192,2009-08-11
DE0001134922,2024-01-04,1993-12-29,0.0625,125.73,3.7842,2009-08-11
DE0001141463,2010-04-09,2005-02-24,0.0325,101.72,1.1308,2009-08-12
DE0001135150,2010-07-04,2000-05-05,0.0525,103.93,0.5897,2009-08-12
DE0001141471,2010-10-08,2005-08-26,0.025,101.805,2.1233,2009-08-12
DE0001135168,2011-01-04,2000-09-29,0.0525,105.73,3.1932,2009-08-12
DE0001135184,2011-07-04,2001-05-23,0.05,106.475,0.5616,2009-08-12
DE0001135192,2012-01-04,2001-12-28,0.05,107.48,3.0411,2009-08-12
DE0001135200,2012-07-04,2002-06-26,0.05,108.25,0.5616,2009-08-12
DE0001135218,2013-01-04,2002-12-31,0.045,107.3,2.737,2009-08-12
DE0001135234,2013-07-04,2003-06-24,0.0375,104.93,0.4212,2009-08-12
DE0001135242,2014-01-04,2003-10-21,0.0425,106.945,2.5849,2009-08-12
DE0001135259,2014-07-04,2004-04-25,0.0425,107.12,0.4774,2009-08-12
DE0001135267,2015-01-04,2004-10-27,0.0375,104.73,2.2808,2009-08-12
DE0001135283,2015-07-04,2005-04-28,0.0325,101.96,0.3651,2009-08-12
DE0001135291,2016-01-04,2005-10-30,0.035,102.94,2.1288,2009-08-12
DE0001134922,2024-01-04,1993-12-29,0.0625,125.79,3.8014,2009-08-12
DE0001141463,2010-04-09,2005-02-24,0.0325,101.72,1.1575,2009-08-13
DE0001135150,2010-07-04,2000-05-05,0.0525,103.955,0.6329,2009-08-13
DE0001141471,2010-10-08,2005-08-26,0.025,101.85,2.1438,2009-08-13
DE0001135168,2011-01-04,2000-09-29,0.0525,105.78,3.2363,2009-08-13
DE0001135184,2011-07-04,2001-05-23,0.05,106.575,0.6027,2009-08-13
DE0001135192,2012-01-04,2001-12-28,0.05,107.615,3.0822,2009-08-13
DE0001135200,2012-07-04,2002-06-26,0.05,108.415,0.6027,2009-08-13
DE0001135218,2013-01-04,2002-12-31,0.045,107.465,2.774,2009-08-13
DE0001135234,2013-07-04,2003-06-24,0.0375,105.105,0.4521,2009-08-13
DE0001135242,2014-01-04,2003-10-21,0.0425,107.14,2.6199,2009-08-13
DE0001135259,2014-07-04,2004-04-25,0.0425,107.34,0.5123,2009-08-13
DE0001135267,2015-01-04,2004-10-27,0.0375,104.955,2.3116,2009-08-13
DE0001135283,2015-07-04,2005-04-28,0.0325,102.225,0.3918,2009-08-13
DE0001135291,2016-01-04,2005-10-30,0.035,103.205,2.1575,2009-08-13
DE0001134922,2024-01-04,1993-12-29,0.0625,126.07,3.8527,2009-08-13
DE0001141463,2010-04-09,2005-02-24,0.0325,101.73,1.1664,2009-08-14
DE0001135150,2010-07-04,2000-05-05,0.0525,103.955,0.6473,2009-08-14
DE0001141471,2010-10-08,2005-08-26,0.025,101.88,2.1507,2009-08-14
DE0001135168,2011-01-04,2000-09-29,0.0525,105.85,3.2507,2009-08-14
DE0001135184,2011-07-04,2001-05-23,0.05,106.685,0.6164,2009-08-14
DE0001135192,2012-01-04,2001-12-28,0.05,107.77,3.0959,2009-08-14
DE0001135200,2012-07-04,2002-06-26,0.05,108.61,0.6164,2009-08-14
DE0001135218,2013-01-04,2002-12-31,0.045,107.73,2.7863,2009-08-14
DE0001135234,2013-07-04,2003-06-24,0.0375,105.445,0.4623,2009-08-14
DE0001135242,2014-01-04,2003-10-21,0.0425,107.545,2.6315,2009-08-14
DE0001135259,2014-07-04,2004-04-25,0.0425,107.8,0.524,2009-08-14
DE0001135267,2015-01-04,2004-10-27,0.0375,105.465,2.3219,2009-08-14
DE0001135283,2015-07-04,2005-04-28,0.0325,102.77,0.4007,2009-08-14
DE0001135291,2016-01-04,2005-10-30,0.035,103.78,2.1671,2009-08-14
DE0001134922,2024-01-04,1993-12-29,0.0625,127.075,3.8699,2009-08-14
DE0001141463,2010-04-09,2005-02-24,0.0325,101.71,1.1753,2009-08-17
DE0001135150,2010-07-04,2000-05-05,0.0525,103.93,0.6616,2009-08-17
DE0001141471,2010-10-08,2005-08-26,0.025,101.86,2.1575,2009-08-17
DE0001135168,2011-01-04,2000-09-29,0.0525,105.815,3.2651,2009-08-17
DE0001135184,2011-07-04,2001-05-23,0.05,106.675,0.6301,2009-08-17
DE0001135192,2012-01-04,2001-12-28,0.05,107.745,3.1096,2009-08-17
DE0001135200,2012-07-04,2002-06-26,0.05,108.605,0.6301,2009-08-17
DE0001135218,2013-01-04,2002-12-31,0.045,107.715,2.7986,2009-08-17
DE0001135234,2013-07-04,2003-06-24,0.0375,105.445,0.4726,2009-08-17
DE0001135242,2014-01-04,2003-10-21,0.0425,107.545,2.6432,2009-08-17
DE0001135259,2014-07-04,2004-04-25,0.0425,107.815,0.5356,2009-08-17
DE0001135267,2015-01-04,2004-10-27,0.0375,105.49,2.3322,2009-08-17
DE0001135283,2015-07-04,2005-04-28,0.0325,102.84,0.4096,2009-08-17
DE0001135291,2016-01-04,2005-10-30,0.035,103.905,2.1767,2009-08-17
DE0001134922,2024-01-04,1993-12-29,0.0625,127.415,3.887,2009-08-17
DE0001141463,2010-04-09,2005-02-24,0.0325,101.69,1.1842,2009-08-18
DE0001135150,2010-07-04,2000-05-05,0.0525,103.91,0.676,2009-08-18
DE0001141471,2010-10-08,2005-08-26,0.025,101.845,2.1644,2009-08-18
DE0001135168,2011-01-04,2000-09-29,0.0525,105.785,3.2795,2009-08-18
DE0001135184,2011-07-04,2001-05-23,0.05,106.65,0.6438,2009-08-18
DE0001135192,2012-01-04,2001-12-28,0.05,107.72,3.1233,2009-08-18
DE0001135200,2012-07-04,2002-06-26,0.05,108.58,0.6438,2009-08-18
DE0001135218,2013-01-04,2002-12-31,0.045,107.695,2.811,2009-08-18
DE0001135234,2013-07-04,2003-06-24,0.0375,105.435,0.4829,2009-08-18
DE0001135242,2014-01-04,2003-10-21,0.0425,107.54,2.6548,2009-08-18
DE0001135259,2014-07-04,2004-04-25,0.0425,107.805,0.5473,2009-08-18
DE0001135267,2015-01-04,2004-10-27,0.0375,105.48,2.3425,2009-08-18
DE0001135283,2015-07-04,2005-04-28,0.0325,102.825,0.4185,2009-08-18
DE0001135291,2016-01-04,2005-10-30,0.035,103.865,2.1863,2009-08-18
DE0001134922,2024-01-04,1993-12-29,0.0625,127.355,3.9041,2009-08-18
DE0001141463,2010-04-09,2005-02-24,0.0325,101.685,1.1932,2009-08-19
DE0001135150,2010-07-04,2000-05-05,0.0525,103.89,0.6904,2009-08-19
DE0001141471,2010-10-08,2005-08-26,0.025,101.85,2.1712,2009-08-19
DE0001135168,2011-01-04,2000-09-29,0.0525,105.78,3.2938,2009-08-19
DE0001135184,2011-07-04,2001-05-23,0.05,106.685,0.6575,2009-08-19
DE0001135192,2012-01-04,2001-12-28,0.05,107.78,3.137,2009-08-19
DE0001135200,2012-07-04,2002-06-26,0.05,108.65,0.6575,2009-08-19
DE0001135218,2013-01-04,2002-12-31,0.045,107.795,2.8233,2009-08-19
DE0001135234,2013-07-04,2003-06-24,0.0375,105.585,0.4932,2009-08-19
DE0001135242,2014-01-04,2003-10-21,0.0425,107.725,2.6664,2009-08-19
DE0001135259,2014-07-04,2004-04-25,0.0425,108.015,0.5589,2009-08-19
DE0001135267,2015-01-04,2004-10-27,0.0375,105.725,2.3527,2009-08-19
DE0001135283,2015-07-04,2005-04-28,0.0325,103.095,0.4274,2009-08-19
DE0001135291,2016-01-04,2005-10-30,0.035,104.15,2.1959,2009-08-19
DE0001134922,2024-01-04,1993-12-29,0.0625,127.88,3.9212,2009-08-19
DE0001141463,2010-04-09,2005-02-24,0.0325,101.68,1.2199,2009-08-20
DE0001135150,2010-07-04,2000-05-05,0.0525,103.9,0.7336,2009-08-20
DE0001141471,2010-10-08,2005-08-26,0.025,101.865,2.1918,2009-08-20
DE0001135168,2011-01-04,2000-09-29,0.0525,105.8,3.337,2009-08-20
DE0001135184,2011-07-04,2001-05-23,0.05,106.71,0.6986,2009-08-20
DE0001135192,2012-01-04,2001-12-28,0.05,107.81,3.1781,2009-08-20
DE0001135200,2012-07-04,2002-06-26,0.05,108.685,0.6986,2009-08-20
DE0001135218,2013-01-04,2002-12-31,0.045,107.855,2.8603,2009-08-20
DE0001135234,2013-07-04,2003-06-24,0.0375,105.645,0.524,2009-08-20
DE0001135242,2014-01-04,2003-10-21,0.0425,107.795,2.7014,2009-08-20
DE0001135259,2014-07-04,2004-04-25,0.0425,108.08,0.5938,2009-08-20
DE0001135267,2015-01-04,2004-10-27,0.0375,105.8,2.3836,2009-08-20
DE0001135283,2015-07-04,2005-04-28,0.0325,103.16,0.4541,2009-08-20
DE0001135291,2016-01-04,2005-10-30,0.035,104.2,2.2247,2009-08-20
DE0001134922,2024-01-04,1993-12-29,0.0625,127.95,3.9726,2009-08-20
DE0001141463,2010-04-09,2005-02-24,0.0325,101.67,1.2288,2009-08-21
DE0001135150,2010-07-04,2000-05-05,0.0525,103.86,0.7479,2009-08-21
DE0001141471,2010-10-08,2005-08-26,0.025,101.81,2.1986,2009-08-21
DE0001135168,2011-01-04,2000-09-29,0.0525,105.68,3.3514,2009-08-21
DE0001135184,2011-07-04,2001-05-23,0.05,106.53,0.7123,2009-08-21
DE0001135192,2012-01-04,2001-12-28,0.05,107.58,3.1918,2009-08-21
DE0001135200,2012-07-04,2002-06-26,0.05,108.41,0.7123,2009-08-21
DE0001135218,2013-01-04,2002-12-31,0.045,107.53,2.8726,2009-08-21
DE0001135234,2013-07-04,2003-06-24,0.0375,105.3,0.5342,2009-08-21
DE0001135242,2014-01-04,2003-10-21,0.0425,107.4,2.713,2009-08-21
DE0001135259,2014-07-04,2004-04-25,0.0425,107.67,0.6055,2009-08-21
DE0001135267,2015-01-04,2004-10-27,0.0375,105.38,2.3938,2009-08-21
DE0001135283,2015-07-04,2005-04-28,0.0325,102.75,0.463,2009-08-21
DE0001135291,2016-01-04,2005-10-30,0.035,103.77,2.2342,2009-08-21
DE0001134922,2024-01-04,1993-12-29,0.0625,127.685,3.9897,2009-08-21
DE0001141463,2010-04-09,2005-02-24,0.0325,101.67,1.2377,2009-08-24
DE0001135150,2010-07-04,2000-05-05,0.0525,103.88,0.7623,2009-08-24
DE0001141471,2010-10-08,2005-08-26,0.025,101.845,2.2055,2009-08-24
DE0001135168,2011-01-04,2000-09-29,0.0525,105.73,3.3658,2009-08-24
DE0001135184,2011-07-04,2001-05-23,0.05,106.595,0.726,2009-08-24
DE0001135192,2012-01-04,2001-12-28,0.05,107.655,3.2055,2009-08-24
DE0001135200,2012-07-04,2002-06-26,0.05,108.515,0.726,2009-08-24
DE0001135218,2013-01-04,2002-12-31,0.045,107.65,2.8849,2009-08-24
DE0001135234,2013-07-04,2003-06-24,0.0375,105.4,0.5445,2009-08-24
DE0001135242,2014-01-04,2003-10-21,0.0425,107.515,2.7247,2009-08-24
DE0001135259,2014-07-04,2004-04-25,0.0425,107.785,0.6171,2009-08-24
DE0001135267,2015-01-04,2004-10-27,0.0375,105.5,2.4041,2009-08-24
DE0001135283,2015-07-04,2005-04-28,0.0325,102.84,0.4719,2009-08-24
DE0001135291,2016-01-04,2005-10-30,0.035,103.855,2.2438,2009-08-24
DE0001134922,2024-01-04,1993-12-29,0.0625,127.695,4.0068,2009-08-24
DE0001141463,2010-04-09,2005-02-24,0.0325,101.67,1.2466,2009-08-25
DE0001135150,2010-07-04,2000-05-05,0.0525,103.865,0.7767,2009-08-25
DE0001141471,2010-10-08,2005-08-26,0.025,101.845,2.2123,2009-08-25
DE0001135168,2011-01-04,2000-09-29,0.0525,105.74,3.3801,2009-08-25
DE0001135184,2011-07-04,2001-05-23,0.05,106.625,0.7397,2009-08-25
DE0001135192,2012-01-04,2001-12-28,0.05,107.695,3.2192,2009-08-25
DE0001135200,2012-07-04,2002-06-26,0.05,108.575,0.7397,2009-08-25
DE0001135218,2013-01-04,2002-12-31,0.045,107.73,2.8973,2009-08-25
DE0001135234,2013-07-04,2003-06-24,0.0375,105.51,0.5548,2009-08-25
DE0001135242,2014-01-04,2003-10-21,0.0425,107.64,2.7363,2009-08-25
DE0001135259,2014-07-04,2004-04-25,0.0425,107.93,0.6288,2009-08-25
DE0001135267,2015-01-04,2004-10-27,0.0375,105.655,2.4144,2009-08-25
DE0001135283,2015-07-04,2005-04-28,0.0325,103.02,0.4808,2009-08-25
DE0001135291,2016-01-04,2005-10-30,0.035,104.05,2.2534,2009-08-25
DE0001134922,2024-01-04,1993-12-29,0.0625,127.975,4.024,2009-08-25
DE0001141463,2010-04-09,2005-02-24,0.0325,101.65,1.2555,2009-08-26
DE0001135150,2010-07-04,2000-05-05,0.0525,103.84,0.7911,2009-08-26
DE0001141471,2010-10-08,2005-08-26,0.025,101.855,2.2192,2009-08-26
DE0001135168,2011-01-04,2000-09-29,0.0525,105.745,3.3945,2009-08-26
DE0001135184,2011-07-04,2001-05-23,0.05,106.66,0.7534,2009-08-26
DE0001135192,2012-01-04,2001-12-28,0.05,107.73,3.2329,2009-08-26
DE0001135200,2012-07-04,2002-06-26,0.05,108.635,0.7534,2009-08-26
DE0001135218,2013-01-04,2002-12-31,0.045,107.805,2.9096,2009-08-26
DE0001135234,2013-07-04,2003-06-24,0.0375,105.605,0.5651,2009-08-26
DE0001135242,2014-01-04,2003-10-21,0.0425,107.755,2.7479,2009-08-26
DE0001135259,2014-07-04,2004-04-25,0.0425,108.07,0.6404,2009-08-26
DE0001135267,2015-01-04,2004-10-27,0.0375,105.81,2.4247,2009-08-26
DE0001135283,2015-07-04,2005-04-28,0.0325,103.195,0.4897,2009-08-26
DE0001135291,2016-01-04,2005-10-30,0.035,104.255,2.263,2009-08-26
DE0001134922,2024-01-04,1993-12-29,0.0625,128.255,4.0411,2009-08-26
DE0001141463,2010-04-09,2005-02-24,0.0325,101.645,1.2822,2009-08-27
DE0001135150,2010-07-04,2000-05-05,0.0525,103.84,0.8342,2009-08-27
DE0001141471,2010-10-08,2005-08-26,0.025,101.87,2.2397,2009-08-27
DE0001135168,2011-01-04,2000-09-29,0.0525,105.76,3.4377,2009-08-27
DE0001135184,2011-07-04,2001-05-23,0.05,106.67,0.7945,2009-08-27
DE0001135192,2012-01-04,2001-12-28,0.05,107.745,3.274,2009-08-27
DE0001135200,2012-07-04,2002-06-26,0.05,108.645,0.7945,2009-08-27
DE0001135218,2013-01-04,2002-12-31,0.045,107.825,2.9466,2009-08-27
DE0001135234,2013-07-04,2003-06-24,0.0375,105.61,0.5959,2009-08-27
DE0001135242,2014-01-04,2003-10-21,0.0425,107.755,2.7829,2009-08-27
DE0001135259,2014-07-04,2004-04-25,0.0425,108.07,0.6753,2009-08-27
DE0001135267,2015-01-04,2004-10-27,0.0375,105.805,2.4555,2009-08-27
DE0001135283,2015-07-04,2005-04-28,0.0325,103.185,0.5164,2009-08-27
DE0001135291,2016-01-04,2005-10-30,0.035,104.235,2.2918,2009-08-27
DE0001134922,2024-01-04,1993-12-29,0.0625,128.065,4.0925,2009-08-27
DE0001141463,2010-04-09,2005-02-24,0.0325,101.645,1.2911,2009-08-28
DE0001135150,2010-07-04,2000-05-05,0.0525,103.835,0.8486,2009-08-28
DE0001141471,2010-10-08,2005-08-26,0.025,101.87,2.2466,2009-08-28
DE0001135168,2011-01-04,2000-09-29,0.0525,105.74,3.4521,2009-08-28
DE0001135184,2011-07-04,2001-05-23,0.05,106.665,0.8082,2009-08-28
DE0001135192,2012-01-04,2001-12-28,0.05,107.715,3.2877,2009-08-28
DE0001135200,2012-07-04,2002-06-26,0.05,108.625,0.8082,2009-08-28
DE0001135218,2013-01-04,2002-12-31,0.045,107.82,2.9589,2009-08-28
DE0001135234,2013-07-04,2003-06-24,0.0375,105.61,0.6062,2009-08-28
DE0001135242,2014-01-04,2003-10-21,0.0425,107.745,2.7945,2009-08-28
DE0001135259,2014-07-04,2004-04-25,0.0425,108.065,0.687,2009-08-28
DE0001135267,2015-01-04,2004-10-27,0.0375,105.815,2.4658,2009-08-28
DE0001135283,2015-07-04,2005-04-28,0.0325,103.175,0.5253,2009-08-28
DE0001135291,2016-01-04,2005-10-30,0.035,104.225,2.3014,2009-08-28
DE0001134922,2024-01-04,1993-12-29,0.0625,127.925,4.1096,2009-08-28
DE0001141463,2010-04-09,2005-02-24,0.0325,101.64,1.3,2009-08-31
DE0001135150,2010-07-04,2000-05-05,0.0525,103.83,0.863,2009-08-31
DE0001141471,2010-10-08,2005-08-26,0.025,101.875,2.2534,2009-08-31
DE0001135168,2011-01-04,2000-09-29,0.0525,105.755,3.4664,2009-08-31
DE0001135184,2011-07-04,2001-05-23,0.05,106.68,0.8219,2009-08-31
DE0001135192,2012-01-04,2001-12-28,0.05,107.735,3.3014,2009-08-31
DE0001135200,2012-07-04,2002-06-26,0.05,108.655,0.8219,2009-08-31
DE0001135218,2013-01-04,2002-12-31,0.045,107.85,2.9712,2009-08-31
DE0001135234,2013-07-04,2003-06-24,0.0375,105.65,0.6164,2009-08-31
DE0001135242,2014-01-04,2003-10-21,0.0425,107.78,2.8062,2009-08-31
DE0001135259,2014-07-04,2004-04-25,0.0425,108.105,0.6986,2009-08-31
DE0001135267,2015-01-04,2004-10-27,0.0375,105.85,2.476,2009-08-31
DE0001135283,2015-07-04,2005-04-28,0.0325,103.21,0.5342,2009-08-31
DE0001135291,2016-01-04,2005-10-30,0.035,104.26,2.311,2009-08-31
DE0001134922,2024-01-04,1993-12-29,0.0625,127.955,4.1267,2009-08-31
DE0001141463,2010-04-09,2005-02-24,0.0325,101.62,1.3089,2009-09-01
DE0001135150,2010-07-04,2000-05-05,0.0525,103.83,0.8774,2009-09-01
DE0001141471,2010-10-08,2005-08-26,0.025,101.895,2.2603,2009-09-01
DE0001135168,2011-01-04,2000-09-29,0.0525,105.785,3.4808,2009-09-01
DE0001135184,2011-07-04,2001-05-23,0.05,106.775,0.8356,2009-09-01
